ID,Oku_Text,English_NIV_Equivalent
1852,"Nchiy-ndaa-Feyin me tum è fay ɛ ghene eyshie, eyban ə Feyine baa se naŋ.","An angel of the Lord appeared to them, and the glory of the Lord shone around them, and they were terrified."
1853,Nchiy-ndaa-Feyin yi me suuy se ghene ge: Ghàà ghen yɛ fan. Mɛ gwiy nè ntum eyjun ye ey gwiy nè eysanjlee eyhakene se wel abjim.,"But the angel said to them, ""Do not be afraid. I bring you good news that will cause great joy for all the people."
1854,É biimen Mboyse ɛ ntek na abfon wɛ David ɛ kechii ké lane. Əb lu Vi we Feyine nè Yiosen. Əb lu Bààba.,"Today in the town of David a Savior has been born to you; he is the Messiah, the Lord."
1855,"Əbchayte we ghene nèy yen se geese keele ge wan nè vin lu wán wɛ me suuyen lu ge, ghene nèy yen wán nè ɛ́ limte nè ndayse, è nyinjse ɛ kenak kɛ nyamsc sɛɛ yiɛ ɛ ten.","This will be a sign to you: You will find a baby wrapped in cloths and lying in a manger."""
1856,"Ka əb suŋnen è meyse ɛ leghe, ghene sasen, è me yen ne nchiy-ndaa-Feyin yi shi fo ghene selee naa se eydio, yeme njaŋ eykokse se Feyine, suuye ge:","Suddenly a great company of the heavenly host appeared with the angel, praising God and saying,"
1857,"“Eykokse lu se Feyine eyyio, nɛ eyzəəte lu ɛ ketuu ntic, se ghel ghɛ Feyine koŋen.”","""Glory to God in the highest heaven, and on earth peace to those on whom his favor rests."""
1858,"Nchiyse-ndaa na Feyine shii yem di è kase se fiile se eyyio ɛ leghe, gay shii me suuy se ngenjse ghene ge: Ghesen diaŋ ɛ Betlehem, è yen kenəə kin kɛ ke ganen, kɛ Feyine nɛɛyen ghesen keele.","When the angels had left them and gone into heaven, the shepherds said to one another, ""Let’s go to Bethlehem and see this thing that has happened, which the Lord has told us about."""
1859,"Ghene me fee-feen nè kenyujene, è dian ɛ Betlehem, è yen Mɛɛle ghene Josef, è gese yen wán ka ɛ́ nyinjse ɛ ten.","So they hurried off and found Mary and Joseph, and the baby, who was lying in the manger."
1860,"Se lu ka ghene yenen wán vi di, ghene kum wán se fiɛl əbnəə abjim wè nchiy-ndaa-Feyin ké suuyen se ghene kum wán nè vin.","When they had seen him, they spread the word concerning what had been told them about this child,"
1861,Ghel ejim ghɛ ɛ́ nè yion sakghc vin se gay shii nè fiɛlen nè lò se lu nè abchiö əbyúméné.,and all who heard it were amazed at what the shepherds said to them.
1862,"Se lu se Mɛɛle, nɛ əb yio abnəə nè vin naa əbjm, è lem se wen ə eytem, è se kwaate kum abghene naa se ŋan.",But Mary treasured up all these things and pondered them in her heart.
1863,"Gay shi me kase fiile, è se yeme kokse Feyin se əbnəə wè ken eyghcl ka nchiy-ndaa-Feyin nè suuyen se ghene.","The shepherds returned, glorifying and praising God for all the things they had heard and seen, which were just as they had been told."
1864,"Se lu eybam abchii eyfaame se ka è biin wán nè vin, è me neyte wen, è chio eyghel ə wen ge Jesus, ken eyghcl ka nchiy-ndaa-Feyin nè foon ne no ə wen geese chia nè əblɛɛ ə wene.","On the eighth day, when it was time to circumcise the child, he was named Jesus, the name the angel had given him before he was conceived."
1865,"Əbliye ncy me kwen wɛ ba ə wan ghene no ə wane lanse ngenge ghen, ken ka nchil ə Moses nè chioten bek wán we ghene nè biin. Josef ghene Mɛɛle me lie Jesus, è ɛ Jolesalem, se foo wen se Bay Feyin,","When the time came for the purification rites required by the Law of Moses, Joseph and Mary took him to Jerusalem to present him to the Lord"
1866,"nɛ lu ka ɛ́ nè nyaken ɛ ŋwaale-Feyin ge: “Wel bii wánè wɛ̌ mbiy nɛ lu wán əbluumen, fene əb lu se lose wán ten se fo se Bay Feyin.”","(as it is written in the Law of the Lord, ""Every firstborn male is to be consecrated to the Lord"")"
1867,"Ghene gese fo sɛy eyfio se Feyine, se kase se ye lu kelaanen ɛ eyshie na Feyine, ken ka ɛysak ɛ Bay Feyine nè dinen. Eysake tene nè dine ge: Lòó wel fó abnlal əbbua, kene nŋvəə sebaa.","and to offer a sacrifice in keeping with what is said in the Law of the Lord: ""a pair of doves or two young pigeons."""
1868,"Nè lu abliy fo nè wel əblee lu ɛ Jolesalem nè ɛ́ tonte ge, Simeon. Wel nè vin nè lò se nɛɛy əbnəə wè Feyine koŋen, kokse wen əbliy abjim, chiyte əbliy wè Feyine nèy koosen eysen se ghel eylake Islael, nɛ Keyioy Kelanene lu ɛ wen ə eytem.","Now there was a man in Jerusalem called Simeon, who was righteous and devout. He was waiting for the consolation of Israel, and the Holy Spirit was on him."
1869,"Nè lu di nè Keyioy Kelanene kak wen ge, əb jia nàà kuo buu ge əb yen Vi we ghene Mɛɛle nè nduun nè Jesus se ndaa-eykokse, se neey abnəə vin ka eysake dinen, Keyioy Kelanene neey ge Simeon ndu se ndaa-eykokse fo ken əbliy fo sɛy.",It had been revealed to him by the Holy Spirit that he would not die before he had seen the Lord’s Messiah.
1870,"Əb ndu è chin fo, è me fii wán ten, è koyten è se foo eykokse se Feyine, suuye ge:","Moved by the Spirit, he went into the temple courts. When the parents brought in the child Jesus to do for him what the custom of the Law required,"
1871,"Oo Báába, wè lu nè wè lunse nkakma ə yiɛ san, ne koŋ è wè vase mɛ, we wel eyfel na wè ɛ leenen, è mɛ kuo nè amnyiaŋe.","Simeon took him in his arms and praised God, saying: ""Sovereign Lord, as you have promised, you may now dismiss your servant in peace."
1872,"Mɛ lu nɛ mɛ loote yen nè eshiɛ ə ghome, ka wè ncy boyse ghel.","For my eyes have seen your salvation,"
1873,"Wè siysemen mboyse, è tinsen ka lòó wel abjim yen.",which you have prepared in the sight of all nations:
1874,"Əb lu kekaaken se əbtume ka lòó ghene keele wè, nè əb nèy lose eyghele ghel ə ghiɛ ghɛ Islael.","a light for revelation to the Gentiles, and the glory of your people Israel."""
1875,"Josef ghene Mɛɛle yio kenkaa ke Simeon nè kaan ɛ wan ə ghene ketuu, abchiö yúm ghene.",The child’s father and mother marveled at what was said about him.
1876,"Simeon fó eybose se ghene, è suuy se Mɛɛle we no ə wan ghan ge: Yen-a, wan vin lu nè chok Feyin, ne əb nèy neey è ghele Islael loole se eydio, è nèy è elee saake saaken.","Then Simeon blessed them and said to Mary, his mother: ""This child is destined to cause the falling and rising of many in Israel, and to be a sign that will be spoken against,"
1877,"Əb nèy gese ye lu əbchayte wè lòòn se Feyine, nɛ ndio ghele tunse tunse wen. Ka ghene tunse wen di, è tekwaate ghen te ghene leten ɛ ghene tetem me yensen ɛ ndan. Eysene wan ə vie nè vin nèy neey, è eytem ə yiɛ ye koo di ka é soo nè fefiake.","so that the thoughts of many hearts will be revealed. And a sword will pierce your own soul too."""
1878,"Nè lu ɛ əbliy fo nè abvii əblee lu ɛ Jolesalem ɛ́ tonte ge, Anna, ne lu wán ə Fanuel, we wel eykfəə na Asha. Əbvii nè vin nè lu nɛ əb ngesenmen naa se ŋjaŋ.","There was also a prophet, Anna, the daughter of Penuel, of the tribe of Asher. She was very old; she had lived with her husband seven years after her marriage,"
1879,"Ghene lum ə wen nè chii ken nguk saamba, lu wiy ə nkfəə se yiake ka ab nè chinen nguk njio-sekeek amfaame, è jia yi gok se ndaa-eykokse naa kechii kemok, nduu, foo eykokse se Feyine nè nchuy gese nɛ ntake, bame abfua-abyúéné, jeme.","and then was a widow until she was eighty-four. She never left the temple but worshiped night and day, fasting and praying."
1880,"Se lu ken ka Simeon nè suŋnen se Josef ghene Mɛɛle, əbvii vi me kokte gwiye, è bèèlè Feyin, è suŋnen kum wán wɛ Jesus se ghel ejime fo ghɛ ɛ́ nè chiyten abliy wè Feyine nèy fayse Jolesalem se ngekse.","Coming up to them at that very moment, she gave thanks to God and spoke about the child to all who were looking forward to the redemption of Jerusalem."
1881,"Josef ghene Mɛɛle meyse neey naa əbnəə abjim, ken eyghel ka eysak ə Bààba Feyine dinen, è me kase fiile se ghene ntek, r Nazalet ɛ Galilee.","When Joseph and Mary had done everything required by the Law of the Lord, they returned to Galilee to their own town of Nazareth."
1882,"Jesus kuy, è se lu wán əbtaa, nɛ eytofe lun se wen ə ketuu, nɛ Feyine gese koŋe wen naa ɛ jii eylee nduu.","And the child grew and became strong; he was filled with wisdom, and the grace of God was on him."
1883,"Ba ə wen ghene no ə wen nè sec nduu ɛ Jolesalem nguk sejim, se yie Kechii Eyboyse.",Every year his parents went to Jerusalem for the Festival of the Passover.
1884,"Jesus nèy chin nguk njio-sebaa eyvam, è Jolesalem se yie Kechii Eyboyse ka nchiinen eylak na ghen nè dinen.","When he was twelve years old, they went up to the festival, according to the custom."
1885,"É meyse eyyie Kechii Eyboyse ki, Josef ghene Mɛɛle loo fiile se Nazalet, Jesus me gok ɛ Jolesalem, ne ba ə wen ghene no ə wen ke ge wan lu ɛ ghene kenon, è nèy wiy.","After the festival was over, while his parents were returning home, the boy Jesus stayed behind in Jerusalem, but they were unaware of it."
1886,"Ghene jel se kechii keful ko loo kiy ɛ mɛm na ghene ndaa na ghene, gese nè sunse ghene, è jia se kenje wen ɛ Jolesalem.","Thinking he was in their company, they traveled on for a day. Then they began looking for him among their relatives and friends."
1887,"Əbchii chia abtal ghene ndintese ɛ ndaa-eykokse, è se yiote əbnəə we ghene dinten, gese bifte tebif se ghene.","When they did not find him, they went back to Jerusalem to look for him. After three days they found him in the temple courts, sitting among the teachers, listening to them and asking them questions."
1888,"Ghel ejim ghɛ ɛ́ nè yioten əbnəə ə wen gese nè tefise ə wene nè lò se lu nè abchiö əbyúméné ka əb loote keen əbnəə, gese fise tebif kejuŋ.",Everyone who heard him was amazed at his understanding and his answers.
1889,"Ka no ə wen ghene ba ə wen yenen wen, kelame gwel ghene, wè nɛɛy ge: Wan ə wom, wɛ̀ neey ghes kin se ghes lɛ? Ghese ba ə vie kè luŋe keŋe wɛ̀ naa se ŋaŋ.","When his parents saw him, they were astonished. His mother said to him, ""Son, why have you treated us like this? Your father and I have been anxiously searching for you."""
1890,Jesus fise ge: Ghen kè keŋe mɛ se ghe? Ghen kè báá se ke ge mɛ kè lu se ye lu ɛ ndaa na ba ə wom fen-a?,"""Why were you searching for me?"" he asked. ""Didn't you know I had to be in my Father’s house?"""
1891,Di Josef ghene Mɛɛle jia keele kenəə kɛ əb nè suuyen se ghene.,But they did not understand what he was saying to them.
1892,"Jesus ghene no ə wen, nè ba ə wen me lòò, è chio se Nazalet. Jesus se yionen se ghene naa kejuŋ. No ə wen se ki eywaate abnəə we ab nè suuyen ɛ wen eytem.",Then he went down to Nazareth with them and was obedient to them. But his mother treasured all these things in her heart.
1893,"Jesus gese kuye se wen eytof, nɛ Feyine koŋe wen, nɛ ghel ghɛ ɛ́ nè keen wen gese koŋe wen.","And Jesus grew in wisdom and stature, and in favor with God and man."
ID,Oku_Text,English_NIV_Equivalent
1894,"Nè lu ka Tibelius nè sakenmen ka əbfon ə Lûm se nguk njio setan eyvam, nè Bontius Bailet sake ɛ wen eyshas eylake Judea, ne ko nè lu ɛ ngukse fo nɛ Helod Antibas sake ɛ Galilee, ne wan-no wene Filib sake ɛ Itulea ghene Tlakonitis, ne Lisanias sake ɛ Abilene,","In the fifteenth year of the reign of Tiberius Caesar—when Pontius Pilate was governor of Judea, Herod tetrarch of Galilee, his brother Philip tetrarch of Iturea and Trachonitis, and Lysanias tetrarch of Abilene—"
1895,"ne Annas ghene Kaiafas lu abtuu se ghé ntanjlee eylake Judea, Feyine tinse ntum se Joon wɛ wán ə Zakalia ɛ əbkwak.","during the high-priesthood of Annas and Caiaphas, the word of God came to John son of Zechariah in the wilderness."
1896,"əb me se ghane ɛ ntaame yɛ abghooye jio Joldan fekte se ghele ge: Ghen kubsen tetem ə ten è fiile se eybame mbee é é fò moo se ghen, ka Feyine leyse mbee sen.","He went into all the country around the Jordan, preaching a baptism of repentance for the forgiveness of sins."
1897,"Ke nè gane ken ka wele ntum na Feyine wɛ Ezaya nè nyakenmen ge: ""Yio ka giɛ wele janen ɛ əbkwak ge: Siyse jii se Báǎba neyte kevəə jii se wen é ke yɛ nduu ɛ titiy!","As it is written in the book of the words of Isaiah the prophet: ""A voice of one calling in the wilderness, 'Prepare the way for the Lord, make straight paths for him."
1898,"È lunse tefian tejim, è kɛs tetaŋ ghene kfən sejim é se yɛ lu mbok. È tiyse jii se ngoten é se ye lu ɛ titiy, è lunse tebee é jiise yɛ lu ɛ mbok.","Every valley shall be filled in, every mountain and hill made low. The crooked roads shall become straight, the rough ways smooth."
1899,"È ghel ejime yen ka Feyine boysen ghel.""","And all people will see God’s salvation.'"""
1900,"Ghel ejime nè lǒ fày è gwiy ge Joon fo moo se ghene. Joon suuy se ghene ge: Ghone yiose, suuy ndɛ se ghen ge lòó ghen nyinj è boy se ngek se Feyine shiin se mak se ghele?","John said to the crowds coming out to be baptized by him, ""You brood of vipers! Who warned you to flee from the coming wrath?"
1901,"Ghen ye neey əbnəə abjunje se din ge ghen kubsenmen tetem ə ten. Ghǎà ghen ye suuy se ken ngen ə sene ge: Ghes lu ghel eyshaa-ndaa na Ablaham, nɛ ghese boymen se ngekse. Mɛ suuy se ghen ge lòó Feyine bense etiy ghin fen se ghon na Ablaham.","Produce fruit in keeping with repentance. And do not begin to say to yourselves, 'We have Abraham as our father.' For I tell you that out of these stones God can raise up children for Abraham."
1902,Njam se shi eyshaa fekak kebaaten ka é seɛ fekak fe fe ken ɛ eghan. Naa fekak feke fɛ gwel è koom wiy əmtam lu nɛ é gwel è kwaay.,"The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire."""
1903,Kenone ghel ki yio è me bif se Joon ge: Lòó ghes neey ghɛ ɛ leenen?,"""What should we do then?"" the crowd asked."
1904,"əb fise ge: Wel loo ki nday sebaa, é ab fo se semoke se wel we əb băǎ se ki se nkan, wele yɛ ki abfua-abyíéne, é əb fò ghel ghé ɛ băǎ se ki naa se nkan.","John answered, ""Anyone who has two shirts should share with the one who has none, and anyone who has food should do the same."""
1905,"Naa ghel eyfii shile gwiy sêy se fii moo è bif se Joon ge: Ndinte, lòó ghes neey ghɛ?","Even tax collectors came to be baptized. ""Teacher,"" they asked, ""what should we do?"""""
1906,əb fise ge: Ghǎà ghen ye fii shile chia ka ke luun ge ghen ye fii.,"""Don’t collect any more than you are required to,"" he told them."
1907,"Ghel eyghoŋ elee ko bif sêy se Joon ge: Ghǎà ghen ye fise ge: Ghǎà ghen ye kwantene ghel, səəkə əbkaa se ghene, nɛ ghǎà ghen ye toye ghel se lòlò. Ghen ye lu kekulen nè əbkaa wɛ ghene lien.","Then some soldiers asked him, ""And what should we do?"" He replied, ""Don’t extort money and don’t accuse people falsely—be content with your pay."""
1908,Ka ghel ejime nè chiyten eygyiy ə Vi we Feyine nè tetem ge Joon se shi vi nè vi-a.,The people were waiting expectantly and were all wondering in their hearts if John might possibly be the Messiah.
1909,"Joon keele è me fise se ghene ge: Mɛ foo nɛ lu moo se ghen, dí nè wel əbnganten ablee nèy gwiy, nɛ mɛ fene mɛ băǎ se lu kekwenten ka lòó me yayte. əb nèy ye foo nɛ lu Keyioy Kelanene gese nè eghoo, ye","John answered them all, ""I baptize you with water. But one who is more powerful than I will come, the straps of whose sandals I am not worthy to untie. He will baptize you with the Holy Spirit and fire."
1910,"əb kǐ eyshen ə wen è kfiy se wen əbjwak, è baate mayse ten è nyok abjwak, è waate ɛ keghoo, ye se əbvas wɛ ab baalen əbliy abjim.","His winnowing fork is in his hand to clear his threshing floor and to gather the wheat into his barn, but he will burn up the chaff with unquenchable fire."""
1911,"Joon nè fekte sakghe əbjuŋ nè vin le ɛ jiise jiise se ghele, janje suuye ge kiy ghene, ghene ko kubsen se ghene jii sebee.",And with many other words John exhorted the people and proclaimed the good news to them.
1912,"Helod nè zaamen ge ke băǎ se lu ɛ titiy se wen se kase se lie Helodias, ne lu wiy wan-no ə wen we Helod se wen əbvii, nè lǒ ko gese momle əbnəə naa se eydio we Joon nè zaamen wen se ten, è me gese koo Joon è vii se nchak, se gise se əbnəə nê ghan.","But when John rebuked Herod the tetrarch because of his marriage to Herodias, his brother’s wife, and all the other evil things he had done, Herod added this to them all: He locked John up in prison."
1913,"Nè lu ɛ kechii kelee, nɛ é geese koo Joon, əb fo moo se ghele Jesus loo jem, abchio eyyio dise.","When all the people were being baptized, Jesus was baptized too. And as he was praying, heaven was opened,"
1914,"Keyioy Kelanene saake è guo ɛ wen abghun, lu ka kenlal. Giɛ səəkə se eyyio ge: Wè lu wán ə wom wɛ mɛ koŋen, nɛ mɛ gese sanjle naa se ŋan kum wè.","and the Holy Spirit descended on him in bodily form like a dove. And a voice came from heaven: ""You are my Son, whom I love; with you I am well pleased."""
1915,Jesus nè keete eyfɛl ə wen nɛ əb shi ka nguk ammtal. É nè ke ge ab lu wán ə Josef wɛ nè luun wán ə Heli.,"Now Jesus himself was about thirty years old when he began his ministry. He was the son, so it was thought, of Joseph, the son of Heli,"
1916,"Heli nè lu wán ə Mattat wɛ wán ə Levi, we nè lu wán ə Melki wɛ wán ə Jannai, we nè lu wán ə Josef.","the son of Matthat, the son of Levi, the son of Melki, the son of Jannai, the son of Joseph,"
1917,"Josef nè vin nè lu wán ə Mattattias we wán ə Amos, we nè lu wán ə Nahum wɛ wán ə Esli, we nè lu wán ə Naggai.","the son of Mattathias, the son of Amos, the son of Nahum, the son of Esli, the son of Naggai,"
1918,"Naggai nè lu wán ə Maat we wán ə Mattattias, we nè lu wán ə Semein wɛ wán ə Josech wɛ nè luun wán Joda.","the son of Maath, the son of Mattathias, the son of Semein, the son of Josech, the son of Joda,"
1919,"Joda nè lu wán ə Joanan we wán ə Lesa, we nè lu wán ə Zelubbabel wɛ wán ə Shealtiel, we nè lu wán Neli.","the son of Joanan, the son of Rhesa, the son of Zerubbabel, the son of Shealtiel, the son of Neri,"
1920,"Neli lu wán ə Melki wɛ wán ə Addi, we nè luun wán ə Kosam we wán ə Elmadam wɛ nè luun wán ə El.","the son of Melki, the son of Addi, the son of Cosam, the son of Elmadam, the son of Er,"
1921,"El nè lu wán ə Joshua we wán ə Elieze, we nè luun wán ə Jolim we wán ə Mattat, we nè luun wán Levi.","the son of Joshua, the son of Eliezer, the son of Jorim, the son of Matthat, the son of Levi,"
1922,"Levi nè lu wán ə Simeon we wán ə Juda, we nè luun wán ə Josef we wán ə Jonam we nè luun wán Eliakim.","the son of Simeon, the son of Judah, the son of Joseph, the son of Jonam, the son of Eliakim,"
1923,"Eliakim nè lu wán ə Melea, we wán ə Menna we nè luun wán ə Mattata we nè wán ə Natan, we nè luun wán ə David.","the son of Melea, the son of Menna, the son of Mattatha, the son of Nathan, the son of David,"
1924,"David nè lu wán ə Jesse we wán ə Obet, we nè luun wán ə Boaz we wán ə Salmon, we nè luun wán ə Nahshon.","the son of Jesse, the son of Obed, the son of Boaz, the son of Salmon, the son of Nahshon,"
1925,"Nahshon nè lu wán ə Amminadab we wán ə Admin, we nè luun wán ə Alni we wán ə Hezlon, we nè luun wán ə Belez we wán ə Juda.","the son of Amminadab, the son of Admin, the son of Arni, the son of Hezron, the son of Perez, the son of Judah,"
1926,"Juda nè lu wán ə Jakob we wán ə Ayzek, we nè luun wán ə Ablaham we wán Tela, we nè luun wán ə Nahol.","the son of Jacob, the son of Isaac, the son of Abraham, the son of Terah, the son of Nahor,"
1927,"Nahol nè lu wán ə Selug we wán ə Leu, we nè luun wán ə Beleg we wán ə Ebel, we nè luun wán ə Shela.","the son of Serug, the son of Reu, the son of Peleg, the son of Eber, the son of Shelah,"
1928,"Shela nè lu wán ə Kenan we wán ə Alfasad, we nè luun wán ə Shem we wán Noa, we nè luun wán ə Lamek.","the son of Cainan, the son of Arphaxad, the son of Shem, the son of Noah, the son of Lamech,"
1929,"Lamek nè lu wán ə Metusela we wán ə Enok, we nè luun wán ə Jaled we wán ə Mahalalel, we nè luun wán ə Kenan.","the son of Methuselah, the son of Enoch, the son of Jared, the son of Mahalalel, the son of Cainan,"
1930,"Kenan nè lu wán ə Enosh we wán ə Set, we nè luun wán ə Adam we Feyine nè bomen.","the son of Enosh, the son of Seth, the son of Adam, the son of God."
1931,"Jesus me kase fiile se jio Joldan, nɛ Keyioy Kelanene nè lu ɛ wen ə eytem naa se ŋaŋ. Keyioy vi me neey Jesus, è ndu nè wen ɛ əbkwak, ²Satan se momse wen ɛ ten əbchii eyfaame sebaa. əbchii nè vin abjim, Jesus ke ke ge əb dii ken, è me jenɛ.","Jesus, full of the Holy Spirit, left the Jordan and was led by the Spirit into the wilderness, where for forty days he was tempted by the devil. He ate nothing during those days, and at the end of them he was hungry."
1932,"Satan me suuy se wen ge: Lòó wè lu wán ə Feyine, suuy se etiy ghin fen ge é bense əmchio.","The devil said to him, ""If you are the Son of God, tell this stone to become bread."""
1933,"Jesus fise se wen ge: É nè nyaken ɛ nwaale-Feyin ge: ""Ke ge əmchio mòk nɛ wel jia mboyse wen ey-a.""","Jesus answered, ""It is written: 'Man shall not live on bread alone.'""""
1934,Satan me neey Jesus"
1935,"Satan me suuy se wen ge: Mɛ nǎǎ ye fo abtaa nè vin abjim se wè, gese nè eyseen eyjun yê tefon nè vin, bek ka é lu nɛ əb fo ghen abjim se mɛ, nɛ mɛ fese fò se wel wɛ mɛ koŋen.","And he said to him, ""I will give you all their authority and splendor; it has been given to me, and I can give it to anyone I want to."
1936,"Lòó wè ye jame eyshic na yom, abghene nè vin abjim nèy ye lu we wè.","If you worship me, it will all be yours."""
1937,"Jesus fise se wen ge: É nè nyaken ɛ nwaale-Feyin ge: ""Jame eyshic na Bay Feyin na Feyin ghen, è fɛl se wen wen-moke.""","Jesus answered, ""It is written: 'Worship the Lord your God and serve him only.'""""
1938,Satan me gese neey Jesus"
1939,"bek ka é nè nyaken ɛ nwaale-Feyin ge: ""Feyine nǎǎ ye suuy se nchiyse-ndaa na wen ge ghene neey wè kejuŋ. ¹¹Ghene nǎǎ ye fii wè ɛ eghoo na ghen, ka wè băǎ se ye neey eykul ə vie ɛ etiy.""","For it is written: 'He will command his angels concerning you to guard you carefully; they will lift you up in their hands, so that you will not strike your foot against a stone.'""""
1940,Jesus fise se wen ge: É nè nyaken ge: """"Ghǎà wè ye momse Bay Feyin na Feyin ghen."""""""
1942,"Jesus me kase fiile se Galilee, nɛ abtaa na Keyioy Kelanene lu ɛ wen ə eytem. Sakghɛ ə wen me saanken ɛ eysak fo eyjim.","Jesus returned to Galilee in the power of the Spirit, and news about him spread through the whole countryside."
1943,"əb nè fekten ghel ɛ ndaa-eyjame na ghen, ghel ejim me se kokse wen.","He was teaching in their synagogues, and everyone praised him."
1944,"Jesus me ndu ɛ Nazalet, ntek ye é nè biin wen ɛ ten. əbchii kə eyzəəte nɛ ab liì ɛ ndaa-eyjame ken ka ab nè lò neey, è me lii è siyse ge ab ye transcribe nwaale-Feyin.","He went to Nazareth, where he had been brought up, and on the Sabbath day he went into the synagogue, as was his custom. He stood up to read,"
1945,"əb me fo nwaale ə wele ntum na Feyine wɛ Ezaya se wen, ab yayte, è yen eysak wɛ é nè nyaken ɛ ten ge:","and the scroll of the prophet Isaiah was handed to him. Unrolling it, he found the place where it is written:"
1946,"""Keyioy ə Bay Feyine lu ɛ mɛ ə eytem, bek ka əb nè neey mɛ ge mɛ fekte sakghɛ əbjuŋ se ghel ghé eb băǎ se ki. əb tumen mɛ ge mɛ fekte mboyse se ghel ghé é vii ghene se nchak, nese fo eysene se ghele abfua-abyíéne, è fekte ge ghel ghé é ngvəəse ghene nèy ye mboy,","""The Spirit of the Lord is on me, because he has anointed me to proclaim good news to the poor. He has sent me to proclaim freedom for the prisoners and recovery of sight for the blind, to set the oppressed free,"
1947,"¹⁹è fekte ge əbliy wɛ Báǎba Feyine nèy ye boyse ghel ə wen me kwen.""","to proclaim the year of the Lord’s favor."""
1948,"Jesus kfiy nwaale vi di, è me fo se wel eyfɛl, è me jame eyshee. Ghel ejim ghé é nè luun ɛ ndaa-eyjame di toknen eysen se wen.","Then he rolled up the scroll, gave it back to the attendant and sat down. The eyes of everyone in the synagogue were fastened on him."
1949,"əb me keete se suuy se ghene ge: əbnəə wɛ ghen yionen di, me gan ɛ leghe.","He began by saying to them, ""Today this scripture is fulfilled in your hearing."""
1950,"Ghel ejim me se suuy sakghɛ əbjuŋ kum wen, è chiyte kum əbnəə əbjuŋ we ab nè suuyen, bife ge: Kenəə kɛ wán ə Josef nè vin lu wen nè-a?","All spoke well of him and were amazed at the gracious words that came from his lips. ""Isn’t this Joseph’s son?"" they asked."
1951,"Jesus suuy se ghene ge: Mɛ keele ge ghen nèy ye suuy njǎŋ əmoke se mɛ ge: ""Wele nchak boyse wè eysen. Neey əbnəə wɛ ghes yionen ge wè kì ɛ Kafelnaum, fo fen sêy ɛ ntek ə vie.""","Jesus said to them, ""Surely you will quote this proverb to me: 'Physician, heal yourself!' And you will tell me, 'Do do here in your hometown what we have heard that you did in Capernaum.'""""
1952,Jesus me suuy sêy ge: Mɛ suuy se ghen ge wele ntum na Feyine wiy kelaanen ɛ ntek ə wen."""
1953,"Ghen keele ge əbchii wɛ Elija nè luun ɛ ten, nɛ ke bɛey ghǎǎ ye chin keful njon abtal nè chin ntuufe, njon kə eyseen me koo ɛ ntie fɛn eyjim, nɛ əbkfəə nè lǒ ɛ Isiael naa se eydio.","I assure you that there were many widows in Israel in Elijah’s time, when the sky was shut for three and a half years and there was a severe famine throughout the land."
1954,"Di Feyine bɛey tum Elija se wel ə Isiael mok-a, ab me tum wen se wel əbkfəə əmoke ɛ ntek ə Salefat, ntek ye Sidon.","Yet Elijah was not sent to any of them, but to a widow in Zarephath in the region of Sidon."
1955,"Gese nè əbliy wɛ wele ntum na Feyine wɛ Elisha nè luun ɛ ten, nɛ ghel ə eychii se eydio nè luun ɛ Isiael, ne wiy kelaanen kɛ əb bɛey boyse eychii ə wen mok-a, ab me boyse Naaman we wel ə Silia.","And there were many in Israel with leprosy in the time of Elisha the prophet, yet not one of them was cleansed—only Naaman the Syrian."""
1956,"Ghel ejim ghé é nè luun ɛ ndaa-eyjame di yio di, kfəl me se koo ghene naa se ŋaŋ.",All the people in the synagogue were furious when they heard this.
1957,"Ghene me lii è lúúse Jesus se eybvase ntek, è ndu nè wen eyyio ɛ kfən ntek fo, ge ghene yayte wen se eybvase.","They got up, drove him out of the town, and took him to the brow of the hill on which the town was built, in order to throw him off the cliff."
1958,"Dî Jesus me lǎǎ ɛ kebaaten ə ghene, è me ndu ə wen.",But he walked right through the crowd and went on his way.
1959,"Jesus me ndu ɛ ntek ə Kafelnaum ɛ Galilee. əbchii kə eyzəəte, əb me se fekten ghel.","Then he went down to Capernaum, a town in Galilee, and on the Sabbath he taught the people."
1960,"Ghele me chiyte kum kenəə kɛ ab nè fekten, bek ka ab nè suuyen nè abtaa.","They were amazed at his teaching, because his words had authority."
1961,Wel əblee lu ɛ ndaa-eyjame di nɛ wele keyioy əbe lu ɛ wen ə eytem. əb me lii è ghan ɛ giɛ eytaa ge:,"In the synagogue there was a man possessed by a demon, an impure spirit. He cried out at the top of his voice,"
1962,"""He! Jesus we Nazalet! Wè koŋen ge wè neey ghesen ghɛ-a? Wè gwiyimen ge wè boyse ghesen-a? Mɛ keele wel wɛ wè lu: Wè lu Wel Kelanene we Feyine.""","""Go away! What do you want with us, Jesus of Nazareth? Have you come to destroy us? I know who you are—the Holy One of God!""""
1963,Jesus zaam keyioy əbe vi ge: """"Chichi! Lòò ɛ wen ə eytem!"""" Keyioy əbe vi me kookse wel vi ɛ ntie eyshie na ghel ejim"
1964,"Kelame gwel ghel ejim, ghene me se bife se ghene-ghene ge: Kenəə kɛ wel vin lu eynkii-a? əb nè fise nè abtaa gese nè kenyinjene se teyioy əbe, è ghene lòò-a!","All the people were amazed and said to each other, ""What words these are! With authority and power he gives orders to impure spirits and they come out!"""
